category_name,category_url
Brooklyn Soap Company,https://www.dm.de/marken/brooklyn-soap-company
Bübchen,https://www.dm.de/marken/buebchen
Bubeck ,https://www.dm.de/marken/bubeck-68730
buer,https://www.dm.de/marken/buer-68728
Bugatti,https://www.dm.de/marken/bugatti-1549972
Bünting Tee,https://www.dm.de/marken/buenting-tee-948100
BULLDOG,https://www.dm.de/marken/bulldog
Bullrich,https://www.dm.de/marken/bullrich-68724
Burberry,https://www.dm.de/marken/burberry-586446
Burt's Bees,https://www.dm.de/marken/burt-s-bees-68720
Butchers Son,https://www.dm.de/marken/butchers-son-818002
CACTUS,https://www.dm.de/marken/cactus-218210
Calgon,https://www.dm.de/marken/calgon-47250
Câline,https://www.dm.de/marken/caline-543732
CALITAMEX,https://www.dm.de/marken/calitamex-624540
Calvin Klein,https://www.dm.de/marken/calvin-klein-47252
Camelia,https://www.dm.de/marken/camelia-47254
Campo Verde,https://www.dm.de/marken/campo-verde-218564
cantu,https://www.dm.de/marken/cantu-47256
Caotina,https://www.dm.de/marken/caotina-821212
Carefree,https://www.dm.de/marken/carefree-47258
Carlsen,https://www.dm.de/marken/carlsen-47260
Catrice,https://www.dm.dehttps://www.dm.de/marken/catrice
Cat's Best,https://www.dm.de/marken/cat-s-best-579954
Cats Best Nature,https://www.dm.de/marken/cats-best-nature-221694
CAT'S LOVE,https://www.dm.de/marken/cat-s-love-47280
Cativia,https://www.dm.de/marken/cativia-47282
CATSAN,https://www.dm.de/marken/catsan-47286
catz finefood,https://www.dm.de/marken/catz-finefood-221736
CB12,https://www.dm.de/marken/cb12-47300
CD,https://www.dm.dehttps://www.dm.de/marken/cd
Centrum,https://www.dm.de/marken/centrum-47306
CERACLEN,https://www.dm.de/marken/ceraclen-47308
cerascreen,https://www.dm.de/marken/cerascreen-821248
Cerruti,https://www.dm.de/marken/cerruti-221748
Cesar,https://www.dm.de/marken/cesar-47310
Chaps,https://www.dm.de/marken/chaps-47312
Chewies,https://www.dm.de/marken/chewies-580056
Chloe,https://www.dm.de/marken/chloe-821264
Christina Aguilera,https://www.dm.de/marken/christina-aguilera-47520
Christinen,https://www.dm.de/marken/christinen-47522
Christophorus,https://www.dm.de/marken/christophorus-47524
CL,https://www.dm.de/marken/cl-47526
CLEANmaxx,https://www.dm.de/marken/cleanmaxx-47528
Clearasil,https://www.dm.de/marken/clearasil-47530
Clearblue,https://www.dm.de/marken/clearblue-47532
Clif Bar,https://www.dm.de/marken/clif-bar-225488
Colgate,https://www.dm.de/marken/colgate-47616
Collonil,https://www.dm.de/marken/collonil-821282
COLOR herbalia,https://www.dm.de/marken/color-herbalia-47618
Compeed,https://www.dm.de/marken/compeed-47634
Coppenrath,https://www.dm.de/marken/coppenrath-226248
Coral,https://www.dm.de/marken/coral-47636
Corega,https://www.dm.de/marken/corega-47638
Corwex,https://www.dm.de/marken/corwex-821296
Cosphera,https://www.dm.de/marken/cosphera-226276
Cosrx,https://www.dm.de/marken/cosrx-538056
Cottonelle,https://www.dm.de/marken/cottonelle-47642
Cover Hair,https://www.dm.de/marken/cover-hair
CR7,https://www.dm.de/marken/cr7-47646
Crave,https://www.dm.de/marken/crave-47648
CRAZY inkee,https://www.dm.de/marken/marke-1435672
Credo,https://www.dm.de/marken/credo-47662
Cupper,https://www.dm.de/marken/cupper-47666
Curaprox,https://www.dm.de/marken/curaprox-47668
Daily Soup,https://www.dm.de/marken/daily-soup-48058
Dalli,https://www.dm.de/marken/dalli-48060
Dallmann's,https://www.dm.de/marken/dallmanns-48062
Danke,https://www.dm.de/marken/danke-48064
DanKlorix,https://www.dm.de/marken/danklorix-48066
DANO,https://www.dm.de/marken/dano-226314
Davert,https://www.dm.de/marken/davert-48098
David Beckham,https://www.dm.de/marken/david-beckham-48100
Davidoff,https://www.dm.de/marken/davidoff-48114
Daytox,https://www.dm.de/marken/daytox-48122
Defu,https://www.dm.de/marken/defu-48126
Dein Bestes,https://www.dm.de/marken/dein-bestes
Demak'Up,https://www.dm.de/marken/demak-up-48128
Denkmit,https://www.dm.de/marken/denkmit
Dentagard,https://www.dm.de/marken/dentagard-48130
Dental Delight,https://www.dm.de/marken/dental-delight-48132
Dentalife,https://www.dm.de/marken/dentalife-48134
DenTek,https://www.dm.de/marken/dentek-48136
Dentinox,https://www.dm.de/marken/dentinox-48138
DENTTABS,https://www.dm.de/marken/denttabs-48140
Dentural,https://www.dm.de/marken/dentural-1547846
Der General,https://www.dm.de/marken/der-general-48144
Der original MakeUp Radierer,https://www.dm.de/marken/der-original-makeup-radierer-403870
Dextro Energy,https://www.dm.de/marken/dextro-energy-48148
Dextro Energy Schulstoff,https://www.dm.de/marken/dextro-energy-schulstoff-228588
Diaderma,https://www.dm.de/marken/diaderma-48150
DIADERMINE,https://www.dm.de/marken/diadermine-48156
Dinkel Max,https://www.dm.de/marken/dinkel-max-48160
DK,https://www.dm.de/marken/dk-48164
dmBio,https://www.dm.de/marken/dmbio
Dobensana,https://www.dm.de/marken/dobensana-48168
Dontodent,https://www.dm.de/marken/dontodent
Dogs Best Nature,https://www.dm.de/marken/dogs-best-nature-282628
Dolce&Gabbana,https://www.dm.de/marken/dolce-gabbana-48170
