Brand_id,Brand_name,Date,Brand_url,Image_url,image_path
20,Sears,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9646-sears,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9646/original/sears-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/20-Sears.jpg
21,Kohl’s,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9650-kohls,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9650/original/kohl-s-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/21-Kohl’s.jpg
26,ASOS,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9534-asos,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9534/original/asos-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/26-ASOS.jpg
22,Bespoke Post,2022 Q1-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/11072-bespoke-post,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/11072/original/Account_Dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/22-Bespoke Post.jpg
23,Target,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9581-target,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9581/original/target-account-dashboard.jpg?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/23-Target.jpg
27,B&H Photo,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9542-bh-photo,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9542/original/b-h-photo-account-dashboard-address-book-stored-credit-cards.jpg?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/27-B&H Photo.jpg
19,Nike,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9553-nike,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9553/original/nike-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/19-Nike.jpg
25,Walmart,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9576-walmart,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9576/original/walmart-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/25-Walmart.jpg
29,H&M,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9618-hm,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9618/original/h-m-account-dashboard.jpg?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/29-H&M.jpg
28,Crutchfield,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9549-crutchfield,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9549/original/crutchfield-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/28-Crutchfield.jpg
30,Everlane,2021 Q4-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9781-everlane,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9781/original/everlane-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/30-Everlane.jpg
24,Home Depot,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9585-home-depot,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9585/original/home-depot-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/24-Home Depot.jpg
32,L.L. Bean,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9463-ll-bean,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9463/original/l-l-bean-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/32-L.L. Bean.jpg
31,Away,2021 Q4-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9778-away,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9778/original/away-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/31-Away.jpg
33,American Eagle,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9514-american-eagle-outfitters,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9514/original/american-eagle-outfitters-account-dashboard-address-book-stored-credit-cards.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/33-American Eagle.jpg
36,Microsoft,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9445-microsoft,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9445/original/microsoft-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/36-Microsoft.jpg
38,Neiman Marcus,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9655-neiman-marcus,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9655/original/neiman-marcus-account-dashboard.jpg?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/38-Neiman Marcus.jpg
39,Twice,2021 Q4-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9791-twice,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9791/original/twice-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/39-Twice.jpg
35,Dell,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9454-dell,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9454/original/dell-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/35-Dell.jpg
37,Williams Sonoma,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9431-williams-sonoma,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9431/original/williams-sonoma-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/37-Williams Sonoma.jpg
45,Urban Outfitters,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9459-urban-outfitters,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9459/original/urban-outfitters-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/45-Urban Outfitters.jpg
41,John Lewis,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9484-john-lewis,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9484/original/john-lewis-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/41-John Lewis.jpg
44,Walgreens,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9605-walgreen-co,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9605/original/walgreens-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/44-Walgreens.jpg
43,Marks & Spencer,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9489-marks-spencer,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9489/original/marks-spencer-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/43-Marks & Spencer.jpg
40,GAP,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9467-gap,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9467/original/gap-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/40-GAP.jpg
34,Anine Bing,2021 Q4-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9784-anine-bing,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9784/original/anine-bing-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/34-Anine Bing.jpg
50,Fitbit,2021 Q4-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9787-fitbit,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9787/original/fitbit-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/50-Fitbit.jpg
49,Nordstrom,2021 Q3-Desktop,https://baymard.com/ecommerce-design-examples/58-account-dashboard/9610-nordstrom,https://baymard-assets.imgix.net/benchmark_webpages/screenshots/9610/original/nordstrom-account-dashboard.png?w=250&h=250&dpr=2&auto=format&q=50&fit=crop&crop=focalpoint&fp-x=0.5&fp-y=0,full/49-Nordstrom.jpg
