Product URL,Product image URL,Product name,Amount & unit,Price,Kod/Product code,Product Description
https://apspolska.pl/filizanka-200ml-bel-kera-plus-spodek-15-cm-kolor-fioletowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/cbf106b636502183364656c98f34d2b7","Filiżanka 200ml Bel Kera plus spodek 15 cm, kolor fioletowy",,25.90,3.4.200 VIO,"Szerokość  8 cm
wysokość 7,5 cm"
https://apspolska.pl/talerz-plaski-sr-24-cm-rak-banquet.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/77791997270ea3763b6af409c746f6f6",Talerz płaski śr. 24 cm RAK Banquet,,15.53,BAFP24,"Talerz płaski idealny do serwowania dań głównych. Elegancki, praktyczny wykonany w grubej, wytrzymałej porcelany. Wytrzymałe krawędzie gwarantują dodatkową odporność na uszczerbienia.Materiał wykonania: porcelana
Średnica: 24 cm"
https://apspolska.pl/filizanka-poj-28-cl-rak-banquet.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/0b4e51aa1efb965a01bb408b56009d15",Filiżanka poj. 28 cl RAK Banquet,280 ml,20.45,BANC28,"Grubościenna filiżanka w kolorze białym dedykowana do klasycznych kaw. Filiżanka wykonana jest z wysokiej jakości porcelany. Produkt sprzedawany jest bez spodka.Materiał wykonania: porcelana
Pojemność: 280 ml"
https://apspolska.pl/filizanka-200ml-bel-kera-plus-spodek-15-cm-kolor-szmaragd.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/04028066831e97c3568d3b38ffe6746d","Filiżanka 200ml Bel Kera plus spodek 15 cm, kolor szmaragd",,39.70,3.4.200 SZM,"Szerokość  8 cm
wysokość 7,5 cm"
https://apspolska.pl/talerz-plytki-24cm-kera-still-kolor-topaz.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/617d9e99f17ffa429646fe6169adbfb6","Talerz płytki 24cm KERA Still, kolor topaz",,48.90,14.3 TOP,"Szerokość 24,5 cm
wysokość 2,5 cm"
https://apspolska.pl/filizanka-100ml-bel-kera-plus-spodek-11-cm-kolor-agat.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/2acebd6f29df1cc38459909d3a8df559","Filiżanka 100ml Bel Kera plus spodek 11 cm, kolor agat",,30.58,3.4.100 AGA,"Szerokość  6 cm
wysokość 5,5 cm"
https://apspolska.pl/spodek-15cm-bel-kera-kolor-szmaragd.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/6b32e28a0bc769c07b9612ed57cc404a","Spodek 15cm Bel Kera, kolor szmaragd",,13.04,3.4.15 SZM,
https://apspolska.pl/spodek-15cm-bel-kera-kolor-szary.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/27c0d39754da8220689bdf44c91e92d4","Spodek 15cm Bel Kera, kolor szary",,11.44,3.4.15 GRY,
https://apspolska.pl/talerz-plytki-24cm-kera-still-kolor-szary.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/0ff699a970479b51b72a0f3212a6ee56","Talerz płytki 24cm KERA Still, kolor szary",,33.73,14.3 GRY,"Szerokość 24,5 cm
wysokość 2,5 cm"
https://apspolska.pl/filizanka-100ml-bel-kera-plus-spodek-11-cm-kolor-seledynowy.html,"https://apspolska.pl/picture/fit-in/486x405/filters:quality(80):fill(white,1)/51648e2015fdb413c995460d7dec7f58","Filiżanka 100ml Bel Kera plus spodek 11 cm, kolor seledynowy",,21.27,3.4.100 SEL,"Szerokość  6 cm
wysokość 5,5 cm"
